volume_name,volume_id,issue_id,cover_date
Webspinners: Tales of Spider-Man;9375;75625;1999-03-26
Spider-Man: Chapter One;6219;45761;1999-03-18
Slingers;11305;99242;1999-03-01
Peter Parker: Spider-Man;9142;68480;1999-03-01
Mutant X;6217;45737;1999-03-01
Spider-Girl;6218;45735;1999-03-01
Earth X;6354;45724;1999-03-01
The Amazing Spider-Man;78701;113433;1999-02-28
Webspinners: Tales of Spider-Man;9375;75624;1999-02-26
Spider-Man: Chapter One;6219;45703;1999-02-18
Slingers;11305;99241;1999-02-01
Peter Parker: Spider-Man;9142;68479;1999-02-01
Mutant X;6217;45683;1999-02-01
Spider-Girl;6218;45679;1999-02-01
Thor;6226;45665;1999-02-01
The Amazing Spider-Man;78701;113432;1999-01-31
Webspinners: Tales of Spider-Man;9375;75623;1999-01-26
Spider-Man: Chapter One;6219;45646;1999-01-18
Amazing Spider-Man Toy Fair Special;25095;148170;1999-01-01
Billy The Marlin;23853;142466;1999-01-01
Slingers;11305;99240;1999-01-01
Peter Parker: Spider-Man;9142;68478;1999-01-01
Spider-Girl;6218;45618;1999-01-01
Earth X Sketchbook;37375;249043;1998-12-30
Spider-Man: Chapter One;6219;45558;1998-12-18
Spider-Man: Chapter One;6219;45554;1998-12-18
Giant Size Spider-Man;42490;290433;1998-12-01
The Supernaturals;20582;123893;1998-12-01
Slingers;11305;99239;1998-12-01
Avengers;7084;50770;1998-12-01
Daredevil;6209;45544;1998-12-01
Spider-Girl;6218;45526;1998-12-01
The Amazing Spider-Man;2127;64477;1998-11-01
Spider-Man Unlimited;5048;57306;1998-11-01
Avengers;7084;50769;1998-11-01
Spider-Man;4421;45504;1998-11-01
Spider-Girl;6218;45467;1998-11-01
Thor;6226;45453;1998-11-01
Spider-Man;4421;45441;1998-11-01
What If...?;4249;45440;1998-11-01
The Spectacular Spider-Man;2870;45428;1998-11-01
The Sensational Spider-Man;5788;45427;1998-11-01
Encyclopdia Deadpoolica;25618;151025;1998-10-21
Spider-Girl;6218;68476;1998-10-01
Excalibur;4052;66407;1998-10-01
The Amazing Spider-Man;2127;64476;1998-10-01
Mutant X;6217;45399;1998-10-01
Spider-Girl;6218;45395;1998-10-01
The Spectacular Spider-Man;2870;45364;1998-10-01
The Sensational Spider-Man;5788;45363;1998-10-01
Spider-Man;4421;45291;1998-10-01
Fantastic Four;6211;45356;1998-09-28
Spider-Man: Identity Crisis;27219;165785;1998-09-01
The Amazing Spider-Man;2127;64475;1998-09-01
The Amazing Spider-Man;2127;64474;1998-09-01
Iron Man: The Iron Age;6215;45311;1998-09-01
What If...?;4249;45307;1998-09-01
The Spectacular Spider-Man;2870;45290;1998-09-01
The Sensational Spider-Man;5788;45289;1998-09-01
